Gender,Stroke,PrelimsTime,FinalsTime,Lane
M,Fly,49.53,49.63,Inside
M,Fly,50.81,50.02,Inside
M,Fly,53.61,52.7,Outside
M,Fly,53.63,52.99,Outside
M,Fly,54.38,54.31,Inside
M,Fly,54.47,54.44,Inside
M,Fly,57.26,56.54,Outside
M,Fly,57.29,57.75,Outside
F,Breast,68.17,66.11,Inside
F,Breast,68.75,68.02,Inside
F,Breast,74.66,73.51,Outside
F,Breast,73.28999999999999,74.49,Outside
F,Breast,75.14,75.03999999999999,Inside
F,Breast,75.12,75.5,Inside
F,Breast,84.57,83.13,Outside
F,Breast,83.16,85.76,Outside
M,Breast,57.81,58.41,Inside
M,Breast,61.03,61.92,Inside
M,Breast,62.65,62.37,Outside
M,Breast,62.58,62.62,Outside
M,Breast,63.4,62.6,Inside
M,Breast,62.93,64.44,Inside
M,Breast,67.59,69.98,Outside
M,Breast,73.65,74.36,Outside
F,Back,62.97,62.21,Inside
F,Back,63.57,65.13,Inside
F,Back,68.16,66.18,Outside
F,Back,68.71000000000001,71.03,Outside
F,Back,69.0,68.61,Inside
F,Back,71.95,69.2,Outside
F,Back,70.28999999999999,69.84,Inside
F,Back,72.44,71.7,Outside
M,Back,51.36,51.26,Inside
M,Back,53.02,52.93,Inside
M,Back,57.88,57.43,Outside
M,Back,59.95,59.91,Outside
M,Back,60.81,59.06,Inside
M,Back,63.23,62.22,Inside
M,Back,69.02,71.49,Outside
M,Back,76.89,77.1,Outside
F,Free,53.08,53.03,Inside
F,Free,54.68,53.92,Inside
F,Free,58.5,57.76,Outside
F,Free,58.29,58.37,Outside
F,Free,58.57,58.64,Inside
F,Free,58.68,59.22,Inside
F,Free,60.86,59.87,Outside
F,Free,60.41,60.27,Outside
F,Free,62.46,62.51,Inside
F,Free,62.19,62.6,Inside
F,Free,66.35,65.44,Outside
F,Free,67.74,67.09,Outside
M,Free,46.43,45.59,Inside
M,Free,45.49,45.77,Inside
M,Free,48.87,48.44,Outside
M,Free,48.94,48.52,Outside
M,Free,49.45,48.88,Inside
M,Free,48.95,49.29,Inside
M,Free,51.28,50.88,Outside
M,Free,50.66,51.05,Outside
M,Free,51.61,51.16,Inside
M,Free,51.43,51.2,Inside
M,Free,54.05,53.45,Outside
M,Free,54.96,54.74,Outside
F,Fly,62.26,60.82,Inside
F,Fly,61.22,61.31,Inside
F,Fly,76.26,76.22,Outside
F,Fly,77.23,77.68,Outside
F,Fly,89.89,89.31,Inside
M,Fly,52.87,51.52,Inside
M,Fly,53.28,53.04,Inside
M,Fly,57.43,56.85,Outside
M,Fly,56.7,57.2,Outside
M,Fly,57.78,56.57,Inside
M,Fly,57.8,58.85,Inside
M,Fly,64.97,66.05,Outside
M,Fly,67.8,69.91,Outside
F,Breast,69.01,69.68,Inside
F,Breast,71.2,70.44,Inside
F,Breast,75.89,74.59,Outside
F,Breast,80.49,80.6,Outside
F,Breast,82.17,80.74,Inside
F,Breast,81.81,80.81,Inside
F,Breast,89.0,90.08,Outside
F,Breast,90.34,94.11,Outside
M,Breast,59.0,57.84,Inside
M,Breast,59.59,58.75,Inside
M,Breast,63.38,63.47,Outside
M,Breast,65.47,66.86,Outside
M,Breast,65.79,64.13,Inside
M,Breast,65.58,66.15,Inside
M,Breast,78.31,77.38,Outside
F,Back,58.59,57.59,Inside
F,Back,60.39,60.55,Inside
F,Back,71.93,71.13,Outside
F,Back,72.61,74.76,Outside
F,Back,73.8,72.9,Inside
F,Back,74.76,74.47,Inside
F,Back,88.71000000000001,88.99,Outside
F,Back,90.38,90.86,Outside
M,Back,53.55,52.37,Inside
M,Back,54.46,53.58,Inside
M,Back,58.65,56.76,Outside
M,Back,57.46,58.73,Outside
M,Back,59.58,58.26,Inside
M,Back,61.22,61.06,Inside
M,Back,67.52,68.15,Outside
M,Back,71.34,70.81,Outside
F,Free,54.48,55.06,Inside
F,Free,56.85,57.7,Inside
F,Free,59.44,59.06,Outside
F,Free,59.63,59.68,Outside
F,Free,61.8,61.73,Inside
F,Free,61.16,61.82,Inside
F,Free,83.23,80.31,Outside
F,Free,90.08,88.41,Outside
M,Free,46.24,45.09,Inside
M,Free,47.99,46.91,Inside
M,Free,50.04,49.74,Outside
M,Free,50.05,53.05,Outside
M,Free,50.45,49.62,Inside
M,Free,50.35,50.13,Inside
M,Free,53.5,52.25,Outside
M,Free,53.69,52.35,Outside
F,Fly,63.66,60.54,Inside
F,Fly,68.85,64.55,Inside
F,Fly,96.89,99.58,Outside
F,Fly,105.5,105.00999999999999,Outside
M,Fly,54.02,51.1,Inside
M,Fly,53.19,52.38,Inside
M,Fly,58.15,58.54,Outside
M,Fly,58.03,59.33,Outside
M,Fly,61.77,59.65,Inside
M,Fly,61.22,60.24,Inside
F,Breast,73.35,72.17,Inside
